#ID;Prefix;Prefix2;Prefix3;Name
10001;Hub;MenuStart;InterfaceAuswahl;ButtonInterfaceA
10002;Hub;MenuStart;InterfaceAuswahl;ButtonInterfaceB
10003;Hub;MenuStart;StartButtons;ButtonBack
10004;Hub;MenuStart;StartButtons;ButtonVorVersuch
10005;Hub;MenuStart;StartButtons;ButtonHauptversuch
10006;Hub;MenuStart;KalibrationButtons;ButtonKalibrieren
10007;Hub;MenuStart;KalibrationButtons;ButtonHilfe
10008;Hub;MenuStart;KalibrationButtons;ButtonBack
10009;Hub;MenuStart;Backplate;Quad
10010;Hub;MenuHand;;ButtonFInish
10011;Hub;MenuHand;ResetButtons;ButtonResetYes
10012;Hub;MenuHand;ResetButtons;ButtonResetNo
10013;Hub;MenuHand;;ButtonReset
10014;Hub;MenuHand;;ButtonDebugToggle
10015;Hub;MenuHand;MENU_Debug;ButtonServerDataToggle
10016;Hub;MenuHand;MENU_Debug;ButtonROTcalibrate
10017;Hub;MenuHand;MENU_Debug;ButtonHandsToggle
10018;Hub;MenuHand;MENU_Debug;ButtonProfilerToggle
10019;Hub;;;
10020;Hub;;;
10021;Hub;;;
10022;Hub;;;
10023;Hub;;;
10024;Hub;;;
10025;Hub;;;
10026;Hub;;;
10027;Hub;;;
10028;Hub;;;
10029;Hub;;;
10030;Hub;;;
10031;Hub;;;
10032;Hub;;;
10033;Hub;;;
10034;Hub;;;
20001;VorVersuch;UI_completed;;ButtonWeiter
20002;VorVersuch;UI_completed;;Backplate
20003;VorVersuch;UI_confirm;;ButtonWeiter
20004;VorVersuch;UI_confirm;;Backplate
20005;VorVersuch;UI_changeObjective;;ButtonWeiter
20006;VorVersuch;UI_changeObjective;;ButtonJa
20007;VorVersuch;UI_changeObjective;;ButtonNein
20008;VorVersuch;UI_changeObjective;;ButtonExport
20009;VorVersuch;UI_changeObjective;;Backplate
20010;VorVersuch;UI_selectObjective;;ButtonWeiter
20011;VorVersuch;UI_selectObjective;;Backplate
20012;VorVersuch;UI_exportFInished;;ButtonWeiter
20013;VorVersuch;UI_exportFInished;;Backplate
20014;VorVersuch;Objectives01__Polfilter;UI_Objective01_1;ButtonWeiter
20015;VorVersuch;Objectives01__Polfilter;UI_Objective01_1;Backplate
20016;VorVersuch;Objectives01__Polfilter;UI_Objective01_1a;ButtonWeiter
20017;VorVersuch;Objectives01__Polfilter;UI_Objective01_1a;Backplate
20018;VorVersuch;Objectives01__Polfilter;UI_Objective01_2;ButtonWeiter
20019;VorVersuch;Objectives01__Polfilter;UI_Objective01_2;Backplate
20020;VorVersuch;Objectives01__Polfilter;UI_Objective01_3;ButtonWeiter
20021;VorVersuch;Objectives01__Polfilter;UI_Objective01_3;Backplate
20022;VorVersuch;Objectives02__Malus;UI_Objective02_1;ButtonWeiter
20023;VorVersuch;Objectives02__Malus;UI_Objective02_1;Backplate
20024;VorVersuch;Objectives02__Malus;UI_Objective02_1a;ButtonWeiter
20025;VorVersuch;Objectives02__Malus;UI_Objective02_1a;Backplate
20026;VorVersuch;Objectives02__Malus;UI_Objective02_1b;ButtonWeiter
20027;VorVersuch;Objectives02__Malus;UI_Objective02_1b;Backplate
20028;VorVersuch;Objectives02__Malus;UI_Objective02_2;ButtonWeiter
20029;VorVersuch;Objectives02__Malus;UI_Objective02_2;Backplate
20030;VorVersuch;Objectives02__Malus;UI_Objective02_3;ButtonWeiter
20031;VorVersuch;Objectives02__Malus;UI_Objective02_3;Backplate
20032;VorVersuch;Objectives02__Malus;UI_Objective02_4;ButtonWeiter
20033;VorVersuch;Objectives02__Malus;UI_Objective02_4;Backplate
20034;VorVersuch;Objectives02__Malus;UI_Objective02_4;ButtonWeiter
20035;VorVersuch;Objectives02__Malus;UI_Objective02_4;Backplate
20036;VorVersuch;Objectives02__Malus;UI_Objective02_5;ButtonWeiter
20037;VorVersuch;Objectives02__Malus;UI_Objective02_5;Backplate
20038;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_1a;ButtonWeiter
20039;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_1a;Backplate
20040;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_1b;ButtonWeiter
20041;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_1b;Backplate
20042;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_1c;ButtonWeiter
20043;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_1c;Backplate
20044;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_1;ButtonWeiter
20045;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_1;Backplate
20046;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_2;ButtonWeiter
20047;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_2;Backplate
20048;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_3;ButtonWeiter
20049;VorVersuch;Objectives03__Wellenplatte;UI_Objective03_3;Backplate
20050;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_1;ButtonWeiter
20051;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_1;Backplate
20052;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_1a;ButtonWeiter
20053;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_1a;Backplate
20054;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_1b;ButtonWeiter
20055;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_1b;Backplate
20056;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_1c;ButtonWeiter
20057;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_1c;Backplate
20058;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_2;ButtonWeiter
20059;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_2;Backplate
20060;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_3;ButtonWeiter
20061;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_3;Backplate
20062;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_4;ButtonWeiter
20063;VorVersuch;Objectives04__Beamsplitter;UI_Objective04_4;Backplate
20064;VorVersuch;MENU_Aufgabe;;ButtonAufgabe01
20065;VorVersuch;MENU_Aufgabe;;ButtonAufgabe02
20066;VorVersuch;MENU_Aufgabe;;ButtonAufgabe03
20067;VorVersuch;MENU_Aufgabe;;ButtonAufgabe04
20068;VorVersuch;OptischeKomponenten;;Laser
20069;VorVersuch;OptischeKomponenten;;Polfilter_01
20070;VorVersuch;OptischeKomponenten;;Polfilter_02
20071;VorVersuch;OptischeKomponenten;;Polfilter_03
20072;VorVersuch;OptischeKomponenten;;Wellenplatte
20073;VorVersuch;OptischeKomponenten;;Beamsplitter
20074;VorVersuch;OptischeKomponenten;;Detektor_A
20075;VorVersuch;OptischeKomponenten;;Detektor_B
20076;VorVersuch;Piktogramme;rotationDial_01;dial
20077;VorVersuch;Piktogramme;rotationDial_02;dial
20078;VorVersuch;Piktogramme;rotationDial_03;dial
20079;VorVersuch;Piktogramme;rotationDial_wp;dial
20080;VorVersuch;Hintergrund;;backdrop
20081;VorVersuch;Untergrundplatte;;base
20082;VorVersuch;graphA;Graph;Backplate
20083;VorVersuch;graphA;Button;add
20084;VorVersuch;graphA;Button;sub
20085;VorVersuch;graphA;Button;export
20086;VorVersuch;UI_exportFInished;;ButtonWeiter
20087;VorVersuch;UI_exportFInished;;Backplate
20088;VorVersuch;;;
20089;VorVersuch;;;
20090;VorVersuch;;;
20091;VorVersuch;;;
20092;VorVersuch;;;
20093;VorVersuch;;;
20094;VorVersuch;;;
20095;VorVersuch;;;
20096;VorVersuch;;;
20097;VorVersuch;;;
20098;VorVersuch;;;
20099;VorVersuch;;;
20100;VorVersuch;;;
20101;VorVersuch;;;
20102;VorVersuch;;;
20103;VorVersuch;;;
20104;VorVersuch;;;
20105;VorVersuch;;;
20106;VorVersuch;;;
20107;VorVersuch;;;
20108;VorVersuch;;;
20109;VorVersuch;;;
20110;VorVersuch;;;
20111;VorVersuch;;;
20112;VorVersuch;;;
20113;VorVersuch;;;
20114;VorVersuch;;;
30000;HauptVersuch;;;
30001;HauptVersuch;;;
30002;HauptVersuch;;;
30003;HauptVersuch;;;
30004;HauptVersuch;;;
30005;HauptVersuch;;;
30006;HauptVersuch;;;
30007;HauptVersuch;;;
30008;HauptVersuch;;;
30009;HauptVersuch;;;
30010;HauptVersuch;Objectives01__Versuchsaufbau;UI_Objective01_1;ButtonWeiter
30011;HauptVersuch;Objectives01__Versuchsaufbau;UI_Objective01_1;Backplate
30012;HauptVersuch;Objectives01__Versuchsaufbau;UI_Objective01_2;ButtonWeiter
30013;HauptVersuch;Objectives01__Versuchsaufbau;UI_Objective01_2;Backplate
30014;HauptVersuch;Objectives01__Versuchsaufbau;UI_Objective01_3;ButtonWeiter
30015;HauptVersuch;Objectives01__Versuchsaufbau;UI_Objective01_3;Backplate
30016;HauptVersuch;Objectives02__Korrelation;UI_Objective02_1;ButtonWeiter
30017;HauptVersuch;Objectives02__Korrelation;UI_Objective02_1;Backplate
30018;HauptVersuch;Objectives02__Korrelation;UI_Objective02_2;ButtonWeiter
30019;HauptVersuch;Objectives02__Korrelation;UI_Objective02_2;Backplate
30020;HauptVersuch;Objectives03__Verschränkung;UI_Korrelationsassistent_Main;ButtonNext
30021;HauptVersuch;Objectives03__Verschränkung;UI_Korrelationsassistent_Main;ButtonPrevious
30022;HauptVersuch;Objectives03__Verschränkung;UI_Korrelationsassistent_Main;ButtonEnter
